trajectory_type,mode,y1,y2,y3,y4,y5,y6,y7
cart_trajectory,joint_pos0,-7.0,50.0,44.0,-4.0,104.0,0.0,0.0
cart_trajectory,cart_pos1,2.520975130431091,0.8041079781381484,0.026415466688426037,0.3216271415473505,0.17036854319932418,0.6238000566771614,0.691667572319095
cart_trajectory,cart_pos2,2.3415932954842456,0.9981006603438878,0.03228648661225125,0.43803117316101536,0.20897639862979714,0.199688932879723,0.8512237580332577
cart_trajectory,cart_pos3,3.0004230644103984,1.6590561422276997,0.033140993287880616,0.380982430237869,-0.15657162816226763,-0.34801093321842663,0.842155629005176
cart_trajectory,cart_pos4,3.65952353067195,0.9978935785064003,0.033244485507534616,-0.14792185288204313,0.461588997082845,0.8164177851239255,-0.31387373790322204
cart_trajectory,cart_pos5,3.00011257427382,0.340962487928212,0.03235441104669279,0.2810817848907318,0.39546077721542144,0.8420865070194817,0.23557189684370994
cart_trajectory,cart_pos6,2.8034183374456285,0.5252146924446768,0.023647228879297322,0.21514133113335393,0.293539932025191,0.7771086217192307,0.5134692843729337
cart_trajectory,cart_pos7,2.5064233488021905,0.7864698797904378,0.29313646971908425,0.5536027010852106,0.27183459516730063,0.613387680974852,0.49334121564053623
cart_trajectory,cart_pos8,2.327797300124616,1.0019601411331989,0.30366993203332976,0.5430677107173116,0.2991294838535215,0.27404892052418467,0.7351844684331363
cart_trajectory,cart_pos9,3.0008920071351834,1.6705025355847773,0.2977914387877527,0.5621653039948245,-0.26072289130386456,-0.32068909840124465,0.7163464574499944
cart_trajectory,cart_pos10,3.672637498919009,0.9996443001878057,0.3002605464801702,-0.261731544433685,0.5617211351398448,0.7160611833367536,-0.32128234732697364
cart_trajectory,cart_pos11,3.0001352970122777,0.32788445828086477,0.30146785969549883,0.2988007032702707,0.5432632984800688,0.736563014573552,0.2702925337704848
cart_trajectory,cart_pos12,2.7878832843735366,0.5050099245620262,0.3013105663753368,0.5758932931536608,0.3598776447195425,0.6514677481341395,0.338267303877835
cart_trajectory,cart_pos13,2.5066884304459434,0.7862047981281718,0.702174202172853,-0.2862750598433425,-0.5194338595506443,0.2687305444343678,0.7589591228465605
cart_trajectory,cart_pos14,2.4359777498580844,0.7154941224787218,0.702174202172853,-0.49848281826031676,-0.4302463557002041,0.4989520489694943,0.5634268418659948
cart_trajectory,cart_pos15,2.32750334501094,0.9999130418447746,0.7003268945166021,-0.5408432946408043,-0.30133022760212436,0.2687120364616555,0.7378905515291289
cart_trajectory,cart_pos16,3.0000576780790658,1.670942690464425,0.7011347561327549,-0.5812862464041214,0.2109135214392119,-0.27985490180707423,0.7343725349916559
cart_trajectory,cart_pos17,3.6720110866599303,1.0016842420827587,0.699052589765551,0.2622204123139912,-0.5612880936393287,0.7167053115913768,-0.32020247913049626
cart_trajectory,cart_pos18,3.0008174814452286,0.3280256214113405,0.7015441578617293,-0.24764368891179253,-0.5685296935652603,0.749124086587443,0.23293710260772044
cart_trajectory,cart_pos19,2.7897920430089314,0.5031011657933244,0.6983806095011647,0.26055168808235163,0.5941515565817735,-0.5011947932347808,-0.5726259904014471
cart_trajectory,cart_pos20,2.522564735196967,0.804298666004125,0.9751443681605207,-0.2922520220988781,-0.21762152664830675,0.5112348106308545,0.7783756131313541
cart_trajectory,cart_pos21,2.341582139716165,1.0001842602046094,0.9666322699047682,-0.437504748619518,-0.20961484632367677,0.2020174509125215,0.85078796457336
cart_trajectory,cart_pos22,2.9997943680501447,1.6582824062098083,0.9651969521994744,-0.4303244094075059,0.22213317463954516,-0.35591264481501766,0.7992521158266754
cart_trajectory,cart_pos23,3.660987821523202,0.9962982385953778,0.9657877336238097,0.15799041047791765,-0.3804927540758132,0.8415763508223125,-0.34930436588943725
cart_trajectory,cart_pos24,3.000564630555771,0.33894090604242333,0.9642832628980559,-0.22057293021272426,-0.3494907946183512,0.8881163061897531,0.2011297929553818
cart_trajectory,cart_pos25,2.8034281267314194,0.5245557481421695,0.9753541122425424,-0.16781407229301087,-0.32582421002997075,0.6853616608291906,0.6292506775238585
